ID,lat,lng,name_of_site
52ee6597-050f-45fc-9754-3381e5e5d0ec,,,Asinalutho Creche
24bf8f74-3c96-4b53-af8c-d918a94f2208,,,Dibandlela Creche
750e19b2-5f93-4d3b-89ca-6740c947dd0c,-30.773792,30.116509,Ebenezer Creche
63b3afb1-a9b5-4087-b6a1-7da235adb27a,-30.786506,30.13219,Edeni Outridge
dc7de113-0132-4399-bd4d-8e7a2ed34868,-30.769119,30.233714,Ekuthuleni Creche
e54ad1df-c9f2-4c2d-b3d3-653b70f8311a,-30.740524,30.095755,Emoyeni Crech
ce81685e-1ace-4899-9f60-f40120af912f,-30.769257,30.233622,Mansfield Creche
9dcdd8e3-419f-46bd-950f-bb4556e5fcff,-30.783426,30.157245,Mayibuye I Afrika Crech
bafda713-bd70-4c52-946e-2151308e685d,-30.947869,29.974088,Mbalenhle Crech
31834cdd-41a5-440f-afc0-b06373754351,-30.687347,30.038254,Mhlabunzima/ Bhekamanyuswa Creche
5bf465f2-d718-426b-988c-86ea1e2ebf9b,-30.609785,30.336631,Mhlahlandlela Creche
78a80b4d-e5fa-4c77-a191-e9c2387d5d01,-30.786551,30.132227,Nomnandi Creche
83aa5868-ce3f-484d-a4b5-3aa1e6f9c1aa,-30.687347,30.038254,Nqabeni Pre Primary
681cf28c-3cd5-4dfc-86df-1e760e3d5fde,-30.68645,30.209295,Nsikeni Creche
280c9ed1-1b78-4ccd-9f76-eb9082583be7,-30.740524,30.095755,Ntokozweni Creche
e9e6bbf1-ff9e-4d42-acc1-2c37665f7e29,-30.773624,30.116597,Phumlani Creche
50208e71-a441-4f9c-868f-f385aaf27f1a,,,Sbusisiwe Crech
41898c22-cccb-4898-bfa9-8d6c7a32935d,-30.610135,29.976308,Sfisokuhle Crech
23af6288-8fd4-4f19-8a4f-07f80637c930,-30.786552,30.132024,Siyazama Creche
2b3c4205-cedb-43db-909e-d41584c57882,-30.786552,30.132024,Snethemba Creche
dddab4d7-9115-44e6-baf8-d84842d5cb6d,-30.783442,30.157171,Sqalo Creche
c06d6eb6-97e7-48e5-9d44-0781817838df,-30.786418,-30.786430.131983,Sthanduxolo Crech
26128503-4d6f-4a69-a168-9e3247018d29,-30.610135,29.976308,Syathuthuka Crech
9e6f171e-22d6-4532-a2ea-4732b5420dad,-30.769126,30.233719,Thembalethu Crech
52905bec-47a9-466f-867e-278ea1f8787d,-30.769119,30.233714,Thembalethu Creche
7c1c7458-78f8-454f-aa9a-d0c581fa75a8,-30.786501,30.131975,Thokoza Creche
bf69eb7a-63aa-499f-92cc-b3ab91f7ec43,-30.740524,30.095755,Tholulwazi
884331b4-c03b-478a-8b28-90b39a339820,-30.897458,-30.897429.968014,Tholulwazi Creche
29934d46-beb1-48e3-93bd-37d59c685ec0,-30.740615,30.09586,Thuthuka Creche
659b20f6-5db5-456c-b293-22738615664d,-30.769119,30.233714,Zenzeleni Creche
2cd0c85f-f3cb-4499-ba66-b75486157627,-30.610288,-30.610229.976457,"Zizamele Crech ,shoba Area"
a6e0855f-b55b-42d0-9878-f6ee9318e8d9,-30.760333,30.390356,Amahlubi Crech
a2956d66-536a-48f0-9940-70878f3e8860,-30.756643,30.371036,Betania Crech
